title,brand,price,review
"Base Cobertura Total - Maple - Absolute New York,absolute_new_york,""R$ 56,90"",0/5"
"Base Cobertura Total - Tiramisu - Absolute New York,absolute_new_york,""R$ 56,90"",0/5"
"Base Cobertura Total - Truffle - Absolute New York,absolute_new_york,""R$ 56,90"",0/5"
"Base Cobertura Total - Mahogany - Absolute New York,absolute_new_york,""R$ 56,90"",0/5"
"Base Cobertura Total - Ganache - Absolute New York,absolute_new_york,""R$ 56,90"",0/5"
"Iluminador Glow in the City - New York Glow - Absolute New York,absolute_new_york,""R$ 112,90"",0/5"
"Iluminador Glow in the City - Big Apple Cheeks - Absolute New York,absolute_new_york,""R$ 112,90"",0/5"
"Pó Solto Skin Glow - Holo - Absolute New York,absolute_new_york,""R$ 75,90"",0/5"
"Pó Solto Skin Glow - Pêssego - Absolute New York,absolute_new_york,""R$ 75,90"",0/5"
"Pó Solto Skin Glow - Sol - Absolute New York,absolute_new_york,""R$ 75,90"",0/5"
"Pó Solto Skin Glow - Bronze - Absolute New York,absolute_new_york,""R$ 75,90"",0/5"
"Gloss Labial Lip Spark - Sunstone - Absolute New York,absolute_new_york,""R$ 61,90"",0/5"
"Gloss Labial Lip Spark - Spinel - Absolute New York,absolute_new_york,""R$ 61,90"",0/5"
"Gloss Labial Lip Spark - Ruby - Absolute New York,absolute_new_york,""R$ 61,90"",0/5"
"Gloss Labial Lip Spark - Cutrine - Absolute New York,absolute_new_york,""R$ 61,90"",0/5"
"Gloss Labial Lip Spark - Amber - Absolute New York,absolute_new_york,""R$ 61,90"",0/5"
"Gloss Labial Lip Spark - Rose Quartz - Absolute New York,absolute_new_york,""R$ 61,90"",0/5"
"Gloss Labial Lip Spark - Topaz - Absolute New York,absolute_new_york,""R$ 61,90"",0/5"
"Gloss Labial Lip Spark - Garnet - Absolute New York,absolute_new_york,""R$ 61,90"",0/5"
"Gloss Labial Lip Spark - Smokey Quartz - Absolute New York,absolute_new_york,""R$ 61,90"",0/5"
"Gloss Labial Lip Spark - Amethyst - Absolute New York,absolute_new_york,""R$ 61,90"",0/5"
"Caneta Batom Supreme Slim - In Blossom - Absolute New York,absolute_new_york,""R$ 35,90"",0/5"
"Caneta Batom Supreme Slim - Desert Iris - Absolute New York,absolute_new_york,""R$ 35,90"",0/5"
"Caneta Batom Supreme Slim - English Rose - Absolute New York,absolute_new_york,""R$ 35,90"",0/5"
"Caneta Batom Supreme Slim - Modern Garden - Absolute New York,absolute_new_york,""R$ 35,90"",0/5"
"Caneta Batom Supreme Slim - La Reina - Absolute New York,absolute_new_york,""R$ 35,90"",0/5"
"Caneta Batom Supreme Slim - Poppy Field - Absolute New York,absolute_new_york,""R$ 35,90"",0/5"
"Caneta Batom Supreme Slim - Peony - Absolute New York,absolute_new_york,""R$ 35,90"",0/5"
"Delineador em Gel Labial - Coffee Bean - Absolute New York,absolute_new_york,""R$ 41,90"",0/5"
"Delineador em Gel Labial - Chocolate - Absolute New York,absolute_new_york,""R$ 41,90"",0/5"
"Delineador em Gel Labial - Berry - Absolute New York,absolute_new_york,""R$ 41,90"",0/5"
"Delineador em Gel Labial - True Red - Absolute New York,absolute_new_york,""R$ 41,90"",0/5"
"Delineador em Gel Labial - Red Hot - Absolute New York,absolute_new_york,""R$ 41,90"",0/5"
"Delineador em Gel Labial - Cherry - Absolute New York,absolute_new_york,""R$ 41,90"",0/5"
"Delineador em Gel para Olhos - Black - Absolute New York,absolute_new_york,""R$ 46,90"",0/5"
"Delineador em Gel para Olhos - Twinkle Black - Absolute New York,absolute_new_york,""R$ 46,90"",0/5"
"Delineador em Gel para Olhos - Brown - Absolute New York,absolute_new_york,""R$ 46,90"",0/5"
"Delineador em Gel para Olhos - Navy - Absolute New York,absolute_new_york,""R$ 46,90"",0/5"
"Delineador em Gel para Olhos - White - Absolute New York,absolute_new_york,""R$ 46,90"",0/5"
"Lápis de Sobrancelha Super Slim - Preto - Absolute New York,absolute_new_york,""R$ 45,90"",0/5"
"Lápis de Sobrancelha Super Slim - Castanho Escuro - Absolute New York,absolute_new_york,""R$ 45,90"",0/5"
"Lápis de Sobrancelha Super Slim - Castanho Claro - Absolute New York,absolute_new_york,""R$ 45,90"",0/5"
"Pincel para Contorno e Iluminador - Absolute New York,absolute_new_york,""R$ 45,90"",0/5"
"Delineador Perfect Eye - Preto - Absolute New York,absolute_new_york,""R$ 19,90"",0/5"
"Delineador Perfect Eye - Castanho Escuro - Absolute New York,absolute_new_york,""R$ 19,90"",0/5"
"Delineador Perfect Eye - Castanho - Absolute New York,absolute_new_york,""R$ 19,90"",0/5"
"Delineador Perfect Eye - Castanho Claro - Absolute New York,absolute_new_york,""R$ 19,90"",0/5"
"Delineador Perfect Eye - Branco - Absolute New York,absolute_new_york,""R$ 19,90"",0/5"
"Delineador Perfect Eye - Azul - Absolute New York,absolute_new_york,""R$ 19,90"",0/5"
"Delineador Perfect Lip - Ameixa - Absolute New York,absolute_new_york,""R$ 17,90"",0/5"
"Delineador Líquido Marker - Expert Script - Absolute New York,absolute_new_york,""R$ 106,90"",0/5"
"Delineador Líquido Marker - Arrow Script - Absolute New York,absolute_new_york,""R$ 106,90"",0/5"
"Paleta de Sombras - Verão Bronze - Absolute New York,absolute_new_york,""R$ 94,90"",0/5"
"Paleta de Sombras - Noites Quentes - Absolute New York,absolute_new_york,""R$ 94,90"",0/5"
"Paleta de Sombras - Hiper Pop - Absolute New York,absolute_new_york,""R$ 94,90"",0/5"
"Pó Solto HD Baking - Pêssego - Absolute New York,absolute_new_york,""R$ 77,90"",0/5"
"Pó Solto HD Baking - Banana - Absolute New York,absolute_new_york,""R$ 77,90"",0/5"
"Corretivo Caneta Click Cover - Neutro Claro - Absolute New York,absolute_new_york,""R$ 58,90"",0/5"
"Corretivo Caneta Click Cover - Subtom Amarelo Claro - Absolute New York,absolute_new_york,""R$ 58,90"",0/5"
"Corretivo Caneta Click Cover - Subtom Oliva Claro - Absolute New York,absolute_new_york,""R$ 58,90"",0/5"
"Corretivo Caneta Click Cover - Subtom Oliva Médio - Absolute New York,absolute_new_york,""R$ 58,90"",0/5"
"Corretivo Caneta Click Cover - Neutro Médio - Absolute New York,absolute_new_york,""R$ 58,90"",0/5"
"Corretivo Caneta Click Cover - Subtom Pêssego Médio - Absolute New York,absolute_new_york,""R$ 58,90"",0/5"
"Corretivo Caneta Click Cover - Subtom Rosa Médio - Absolute New York,absolute_new_york,""R$ 58,90"",0/5"
"Corretivo Caneta Click Cover - Subtom Amarelo Médio - Absolute New York,absolute_new_york,""R$ 58,90"",0/5"
"Corretivo Caneta Click Cover - Subtom Frio Escuro - Absolute New York,absolute_new_york,""R$ 58,90"",0/5"
"Corretivo Caneta Click Cover - Amarelo - Absolute New York,absolute_new_york,""R$ 58,90"",0/5"
"Corretivo Caneta Click Cover - Laranja - Absolute New York,absolute_new_york,""R$ 58,90"",0/5"
"Base e Corretivo 2 em 1 - Porcelana - Absolute New York,absolute_new_york,""R$ 106,90"",0/5"
"Base e Corretivo 2 em 1 - Nude - Absolute New York,absolute_new_york,""R$ 106,90"",0/5"
"Base e Corretivo 2 em 1 - Areia - Absolute New York,absolute_new_york,""R$ 106,90"",0/5"
"Base e Corretivo 2 em 1 - Bege - Absolute New York,absolute_new_york,""R$ 106,90"",0/5"
"Base e Corretivo 2 em 1 - Café - Absolute New York,absolute_new_york,""R$ 106,90"",0/5"
"Base e Corretivo 2 em 1 - Nozes - Absolute New York,absolute_new_york,""R$ 106,90"",0/5"
"Base e Corretivo 2 em 1 - Mocha - Absolute New York,absolute_new_york,""R$ 106,90"",0/5"
"Base e Corretivo 2 em 1 - Conhaque - Absolute New York,absolute_new_york,""R$ 106,90"",0/5"
"Base Cobertura Total - Linen - Absolute New York,absolute_new_york,""R$ 56,90"",0/5"
"Base Cobertura Total - Nude - Absolute New York,absolute_new_york,""R$ 56,90"",0/5"
"Base Cobertura Total - Golden - Absolute New York,absolute_new_york,""R$ 56,90"",0/5"
"Base Cobertura Total - Praline - Absolute New York,absolute_new_york,""R$ 56,90"",0/5"
"Base Cobertura Total - Toffee - Absolute New York,absolute_new_york,""R$ 56,90"",0/5"
"Base Cobertura Total - Pecan - Absolute New York,absolute_new_york,""R$ 56,90"",0/5"
"Base Cobertura Total - Walnut - Absolute New York,absolute_new_york,""R$ 56,90"",0/5"
"Pincel para Base - Absolute New York,absolute_new_york,""R$ 45,90"",0/5"
"Pincel para Contorno - Absolute New York,absolute_new_york,""R$ 32,90"",0/5"
"Pincel para Base Chanfrado - Absolute New York,absolute_new_york,""R$ 32,90"",0/5"
"Pincel Leque para Iluminador - Absolute New York,absolute_new_york,""R$ 21,90"",0/5"
"Pincel para Sombra Médio - Absolute New York,absolute_new_york,""R$ 21,90"",0/5"
"Pincel para Esfumar Sombra - Absolute New York,absolute_new_york,""R$ 21,90"",0/5"
"Pincel para Esfumar Sombra - Grande - Absolute New York,absolute_new_york,""R$ 21,90"",0/5"
"Pincel Cônico para Sombra - Absolute New York,absolute_new_york,""R$ 21,90"",0/5"
"Pincel Plano para Aplicar Sombra - Absolute New York,absolute_new_york,""R$ 21,90"",0/5"
"Pincel Achatado de Sombra - Absolute New York,absolute_new_york,""R$ 21,90"",0/5"
"Pincel Plano de Precisão - Absolute New York,absolute_new_york,""R$ 21,90"",0/5"
"Pincel de Precisão Angular - Absolute New York,absolute_new_york,""R$ 21,90"",0/5"
"Pincel 3 em 1 para Pó e Olhos - Absolute New York,absolute_new_york,""R$ 84,90"",0/5"
"Pincel 4 em 1 para Blush e Olhos - Absolute New York,absolute_new_york,""R$ 67,90"",0/5"
"Pincel 4 em 1 para Sombras e Lábios - Absolute New York,absolute_new_york,""R$ 33,90"",0/5"
"Pincel Duplo de Sobrancelha - Absolute New York,absolute_new_york,""R$ 21,90"",0/5"
"Máscara para Olhos Cooling de Pepino - Absolute New York,absolute_new_york,""R$ 51,90"",0/5"
"Base Líquida HD Flawless - Natural - Absolute New York,absolute_new_york,""R$ 89,90"",0/5"
"Base Líquida HD Flawless - Areia - Absolute New York,absolute_new_york,""R$ 89,90"",0/5"
"Base Líquida HD Flawless - Bege - Absolute New York,absolute_new_york,""R$ 89,90"",0/5"
"Base Líquida HD Flawless - Bronzeado - Absolute New York,absolute_new_york,""R$ 89,90"",0/5"
"Base Líquida HD Flawless - Mel - Absolute New York,absolute_new_york,""R$ 89,90"",0/5"
"Base Líquida HD Flawless - Caramelo - Absolute New York,absolute_new_york,""R$ 89,90"",0/5"
"Base Líquida HD Flawless - Amêndoa - Absolute New York,absolute_new_york,""R$ 89,90"",0/5"
"Base Líquida HD Flawless - Café - Absolute New York,absolute_new_york,""R$ 89,90"",0/5"
"Lápis Labial Duplo Perfect -Maça do Amor -Absolute New York,absolute_new_york,""R$ 39,90"",0/5"
"Delineador em Gel Glide e Glam Olhos - Azul Cobalto - Absolute New York,absolute_new_york,""R$ 39,90"",0/5"
"Delineador em Gel Glide e Glam Olhos - Castanho - Absolute New York,absolute_new_york,""R$ 39,90"",0/5"
"Delineador em Gel Glide e Glam Olhos - Bronze Khaki - Absolute New York,absolute_new_york,""R$ 39,90"",0/5"
"Delineador em Gel Glide e Glam Olhos - Cobre - Absolute New York,absolute_new_york,""R$ 39,90"",0/5"
"Delineador em Gel Glide e Glam Olhos - Rose Gold - Absolute New York,absolute_new_york,""R$ 39,90"",0/5"
"Delineador em Gel Glide e Glam Olhos - Branco Pérola - Absolute New York,absolute_new_york,""R$ 39,90"",0/5"
"Delineador em Gel Labial Glide e Glam - Ameixa - Absolute New York,absolute_new_york,""R$ 35,90"",0/5"
"Delineador em Gel Labial Glide e Glam - Berry - Absolute New York,absolute_new_york,""R$ 35,90"",0/5"
"Delineador em Gel Labial Glide e Glam - Vermelho Retrô - Absolute New York,absolute_new_york,""R$ 35,90"",0/5"
"Delineador em Gel Labial Glide e Glam - Rosa Suave - Absolute New York,absolute_new_york,""R$ 35,90"",5-Apr"
"Delineador em Gel Labial Glide e Glam - Castanho Nude - Absolute New York,absolute_new_york,""R$ 35,90"",0/5"
"Lápis de Sobrancelha - Preto - Absolute New York,absolute_new_york,""R$ 49,90"",0/5"
"Lápis de Sobrancelha - Castanho Escuro - Absolute New York,absolute_new_york,""R$ 49,90"",0/5"
"Lápis de Sobrancelha - Marrom Escuro - Absolute New York,absolute_new_york,""R$ 49,90"",0/5"
"Cílios Postiços Super Soft Garnet 309 - Absolute New York x InstaBeauty,absolute_new_york,""R$ 24,90"",0/5"
"Cílios Postiços Super Soft Garnet 310 - Absolute New York x InstaBeauty,absolute_new_york,""R$ 24,90"",0/5"
"Unhas Autoadesivas Curta Amazon Green - Absolute New York x InstaBeauty,absolute_new_york,""R$ 37,90"",0/5"
"Unhas Autoadesivas Média Amazon Green - Absolute New York x InstaBeauty,absolute_new_york,""R$ 37,90"",0/5"
"Unhas Autoadesivas Curta Candy Red - Absolute New York x InstaBeauty,absolute_new_york,""R$ 37,90"",0/5"
"Unhas Autoadesivas Curta Cobalt Blue - Absolute New York x InstaBeauty,absolute_new_york,""R$ 37,90"",0/5"
"Unhas Autoadesivas Média Eclipse Black- Absolute New York x InstaBeauty,absolute_new_york,""R$ 37,90"",0/5"
"Unhas Autoadesivas Média Magic Black- Absolute New York x InstaBeauty,absolute_new_york,""R$ 37,90"",0/5"
"Unhas Autoadesivas Curta Mahogany Red - Absolute New York x InstaBeauty,absolute_new_york,""R$ 37,90"",0/5"
"Unhas Autoadesivas Curta Martin Orange - Absolute New York x InstaBeauty,absolute_new_york,""R$ 37,90"",0/5"
"Unhas Autoadesivas Médio Martin Orange - Absolute New York x InstaBeauty,absolute_new_york,""R$ 37,90"",0/5"
"Unhas Autoadesivas Curta Reddish Black - Absolute New York x InstaBeauty,absolute_new_york,""R$ 37,90"",0/5"
"Unhas Autoadesivas Média Snow White - Absolute New York x InstaBeauty,absolute_new_york,""R$ 37,90"",0/5"
"Unhas Autoadesivas Média Tea Brown - Absolute New York x InstaBeauty,absolute_new_york,""R$ 37,90"",0/5"
"Caneta Delineadora Líquida Nano - Absolute New York,absolute_new_york,""R$ 45,90"",0/5"
"Caneta Delineadora Líquida Shape & Define - Absolute New York,absolute_new_york,""R$ 51,90"",0/5"
"Pincel para Pó - Absolute New York,absolute_new_york,""R$ 45,90"",0/5"
"Pincel para Iluminador - Absolute New York,absolute_new_york,""R$ 45,90"",0/5"
"Cílios Postiços 5D Silk Sapphire 201 - Absolute New York x Instabeauty,absolute_new_york,""R$ 24,90"",0/5"
"Cílios Postiços 5D Silk Sapphire 202 - Absolute New York x Instabeauty,absolute_new_york,""R$ 24,90"",0/5"
"Cílios Postiços 5D Silk Sapphire 203 - Absolute New York x Instabeauty,absolute_new_york,""R$ 24,90"",0/5"
"Cílios Postiços 5D Silk Sapphire 204 - Absolute New York x Instabeauty,absolute_new_york,""R$ 24,90"",0/5"
"Cílios Postiços 5D Silk Sapphire 206 - Absolute New York x Instabeauty,absolute_new_york,""R$ 24,90"",0/5"
"Cílios Postiços 5D Silk Sapphire 207 - Absolute New York x Instabeauty,absolute_new_york,""R$ 24,90"",0/5"
"Cílios Postiços 5D Silk Sapphire 208 - Absolute New York x Instabeauty,absolute_new_york,""R$ 24,90"",0/5"
"Cílios Postiços 5D Silk Sapphire 210 - Absolute New York x Instabeauty,absolute_new_york,""R$ 24,90"",0/5"
"Cílios Postiços Natural Ruby 001 - Absolute New York x Instabeauty,absolute_new_york,""R$ 24,90"",0/5"
